CPD_NAME,BROAD_ID
"ICI-118,551",BRD-A78942461
Y 134,BRD-K94832621
veratric acid,BRD-K14520048
2'-MeCCPA,BRD-A60877539
fenclonine,BRD-A81615860
BRL 37344,BRD-K07507905
khellin,BRD-K80353807
cabergoline,BRD-K86882815
guaifenesin,BRD-A90515964
thalidomide,BRD-A93255169
lincomycin,BRD-K81447180
methanandamide,BRD-K97602563
asaronaldehyde,BRD-K88219015
"N,N-di-n-propyldopamine",BRD-K82577285
N-[2-(Piperidinylamino)ethyl]-4-iodobenzamide,BRD-K78844995
histamine trifluoromethyl toluidide,BRD-A66435872
mephenytoin,BRD-A83937277
tropicamide,BRD-A79672927
A 61603 hydrobromide,BRD-A83650191
leucodin,BRD-K96119599
piperacillin,BRD-K86873305
SB-221284,BRD-K14807180
7-hydroxy-3-(2-methoxyphenyl)chromen-4-one,BRD-K09203354
cefprozil,BRD-A85137183
budesonide,BRD-A82238138
baclofen,BRD-A84174873
terconazole,BRD-K86204871
tocainide,BRD-A92670106
sulfamethoxypyridazine,BRD-K00938507
anhydrobrazilic acid,BRD-K78414110
FR 139317,BRD-A80641450
xaliproden,BRD-K88358234
SM-21 maleate,BRD-A92933783
3-hydroxycoumarin,BRD-K92019075
DO 897/99,BRD-K17378184
pilocarpine,BRD-K85090592
tetramethyl-haematoxylone,BRD-K80307267
clopidogrel,BRD-A93269281
dantrolene,BRD-K81272440
cromakalim,BRD-A76093993
SQ-29548,BRD-A91866971
PNU 96415E,BRD-A95096829
8-hydroxycarapinic acid,BRD-A73559168
nialamide,BRD-K12102668
SDM25N,BRD-A75769826
Compound W,BRD-K98143539
scopoline,BRD-A92161634
dihydro-7-desacetyldeoxygedunin,BRD-A47144777
aniracetam,BRD-K88611939
triamterene,BRD-K92049597
blebbistatin,BRD-A75817871
"ICI 192,605",BRD-A89208012
HSCI1_000325,BRD-K03015355
betahistine,BRD-K91315211
nisoxetine,BRD-A95696066
Ala-Ala-Phe-CMK,BRD-K93080877
celecoxib,BRD-K02637541
NTNCB,BRD-A94413429
bucladesine,BRD-A94624445
doxorubicin,BRD-K92093830
S-Trityl-L-cysteine,BRD-A81392774
huperzine A,BRD-A47065382
fusidic acid,BRD-A78085235
moxisylyte,BRD-K81144366
cloperastine,BRD-A80908310
CGS 21680,BRD-A81866333
RS 504393,BRD-K87510569
ceramide,BRD-A53416814
damnacanthal,BRD-K93325701
cotinine,BRD-K94144010
L 655240,BRD-K89402695
furazolidone,BRD-K11756522
CP-93129,BRD-K81876028
5-hydroxyiminoisocaryophyllene,BRD-A64957606
hydroxyamfetamine,BRD-A80871782
SKF-86002,BRD-K96809896
